Episode,Reward,Num_Actions
60088,42.00000000000001,12
60089,60.199999999999996,9
60090,-270.0000000000003,50
60091,55.4,10
60092,33.60000000000001,13
60093,-265.0000000000002,50
60094,-280.0000000000002,50
60095,-280.0000000000002,50
60096,-160.6000000000002,49
60097,26.400000000000006,15
60098,-290.0000000000003,50
60099,-270.0000000000002,50
60100,-270.0000000000002,50
60101,-290.0000000000003,50
60102,-26.799999999999955,24
60103,-290.0000000000002,50
60104,-275.0000000000002,50
60105,31.200000000000017,14
60106,-280.0000000000002,50
60107,-280.0000000000002,50
60108,-290.0000000000003,50
60109,-290.0000000000003,50
60110,-290.0000000000002,50
60111,-290.0000000000002,50
60112,-285.0000000000003,50
60113,-275.0000000000002,50
60114,-26.399999999999963,26
60115,-270.0000000000002,50
60116,-280.0000000000002,50
60117,-270.0000000000002,50
60118,-290.0000000000003,50
60119,-7.399999999999977,21
60120,-48.59999999999998,27
60121,-270.0000000000002,50
60122,-76.60000000000005,31
60123,-55.80000000000004,29
60124,23.600000000000023,13
60125,-285.0000000000002,50
60126,-89.40000000000009,36
60127,-275.0000000000002,50
60128,69.8,7
60129,69.8,7
60130,79.39999999999999,5
60131,-280.0000000000002,50
60132,-280.0000000000002,50
60133,-285.0000000000003,50
60134,60.199999999999996,9
60135,-270.0000000000002,50
60136,69.8,7
60137,45.800000000000004,12
60138,-280.0000000000003,50
60139,-50.80000000000001,29
60140,-280.0000000000002,50
60141,-280.0000000000002,50
60142,-280.0000000000003,50
60143,-300.0000000000003,50
60144,21.40000000000002,15
60145,69.8,7
60146,69.8,7
60147,42.00000000000001,12
60148,-16.99999999999997,23
60149,-295.0000000000003,50
60150,69.8,7
60151,69.8,7
60152,69.8,7
60153,-17.199999999999974,22
60154,42.00000000000001,12
60155,-280.0000000000002,50
60156,-280.0000000000002,50
60157,60.199999999999996,9
60158,-280.0000000000003,50
60159,-2.59999999999998,20
60160,-280.0000000000002,50
60161,-260.0000000000002,50
60162,-275.0000000000002,50
60163,-2.59999999999998,20
60164,79.39999999999999,5
60165,69.8,7
60166,-151.40000000000015,45
60167,-7.599999999999966,20
60168,31.000000000000014,13
60169,-280.0000000000003,50
60170,-280.0000000000002,50
60171,26.40000000000002,15
60172,-285.0000000000003,50
60173,74.6,6
60174,-270.0000000000002,50
60175,-280.0000000000002,50
60176,-54.79999999999998,28
60177,-270.0000000000002,50
60178,-280.0000000000002,50
60179,-280.0000000000002,50
60180,-46.0,28
60181,-290.0000000000002,50
60182,-270.0000000000002,50
60183,-41.0,28
60184,-270.0000000000002,50
60185,60.199999999999996,9
60186,7.200000000000017,19
60187,57.60000000000001,8
60188,-103.80000000000013,39
60189,-285.0000000000002,50
60190,-280.0000000000003,50
60191,-94.40000000000009,36
60192,-155.00000000000017,45
60193,-14.799999999999955,21
60194,-275.0000000000002,50
60195,-275.0000000000002,50
60196,-71.40000000000003,32
60197,69.8,7
60198,15.40000000000002,16
60199,8.000000000000032,17
60200,61.2,8
60201,-295.0000000000003,50
60202,-280.0000000000002,50
60203,-285.0000000000002,50
60204,-270.0000000000002,50
60205,-280.0000000000002,50
60206,-280.0000000000002,50
60207,-270.0000000000003,50
60208,-275.0000000000003,50
60209,-124.60000000000014,41
60210,-280.0000000000003,50
60211,23.800000000000026,14
60212,-142.8000000000002,44
60213,-133.40000000000015,41
60214,-275.0000000000002,50
60215,6.800000000000026,17
60216,45.6,11
60217,31.200000000000017,14
60218,-65.40000000000003,31
60219,-280.0000000000002,50
60220,-275.0000000000002,50
60221,-270.0000000000002,50
60222,-275.0000000000002,50
60223,-270.0000000000002,50
60224,-270.0000000000002,50
60225,-14.599999999999966,22
60226,-275.0000000000002,50
60227,7.200000000000017,19
60228,-280.0000000000002,50
60229,-285.0000000000002,50
60230,79.39999999999999,5
60231,79.39999999999999,5
60232,13.000000000000032,17
60233,79.39999999999999,5
60234,-16.999999999999957,23
60235,-115.80000000000014,41
60236,79.39999999999999,5
60237,51.60000000000001,10
60238,40.80000000000001,12
60239,79.39999999999999,5
60240,-270.0000000000002,50
60241,79.39999999999999,5
60242,79.39999999999999,5
60243,-285.0000000000002,50
60244,-280.0000000000002,50
60245,-127.80000000000018,44
60246,-109.00000000000011,38
60247,21.40000000000002,15
60248,51.60000000000001,10
60249,-285.0000000000002,50
60250,-65.60000000000005,30
