Tama�o Tablero,Algoritmo,Porcentaje de Exito,Avg Execution Time,Std Execution Time,Avg States Explored,Std States Explored
4, 'Hill Climbing', '26.666666666666668%',  0.011798715591430664,  0.34802289906605066,  1008.0, 0.0
4, 'Simulated Annealing', '100.0%',  0.000667270024617513,  0.019719048235120634,  15.4,  18.99292064119572
4, 'Genetic', '100.0%',  0.0011010249455769858,  0.032478070585089114,  0.0, 0.0
8, 'Hill Climbing', '23.333333333333332%',  0.020817391077677407,  0.6140763837772353,  883.2, 320.3969951213004 
8, 'Simulated Annealing', '100.0%',  0.015824921925862632,  0.4668320043928885,  203.1,  100.02287669362926
8, 'Genetic', '56.666666666666664%',  2.3247349818547565,  68.61557613606168,  453.2, 488.4719594535738
10, 'Hill Climbing', '6.666666666666667%',  0.033557494481404625,  0.9898263018177865,  983.3333333333334, 91.28709291752769
10, 'Simulated Annealing', '76.66666666666667%',  0.062147990862528486,  1.8333974463476845,  555.4,  296.4811559982674
10, 'Genetic', '23.333333333333332%',  5.365884200731913,  158.2978908496187,  771.7666666666667, 420.7991316476334
12, 'Hill Climbing', '3.3333333333333335%',  0.04233864148457845,  1.2488230728234273,  988.8, 105.1627310409919
12, 'Simulated Annealing', '80.0%',  0.0762205441792806,  2.2485422897653797,  543.7,  287.08044649300075
12, 'Genetic', '10.0%',  8.298168873786926,  244.77544403925205,  905.3333333333334, 288.9844684208926
15, 'Hill Climbing', '3.3333333333333335%',  0.06935492356618246,  2.045689170192403,  1117.5, 41.07919181288746
15, 'Simulated Annealing', '66.66666666666666%',  0.14576727549235027,  4.29980339351077,  729.9333333333333,  242.76552236793165
15, 'Genetic', '3.3333333333333335%',  12.57653362751007,  370.96078493850484,  970.5, 161.578154464024
